«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
—«я«д «бЏд“н;22;ећжг;18;79.47;8;5;50;25.71;10.09;165;33.36;8.94;гжеж»;гжеж»
—«я«д «б“е—«дн;19;Ќ«—”;31;85.52;5;3;57.84;25.55;9.94;180;22.67;5.65;џн— гжеж»;џн— гжеж»
д«’— «бЏ н»н;22;ж”Ў;68;63.23;6;4;41.75;32.99;10.28;143;15.36;5.05;џн— гжеж»;џн— гжеж»
д«’— «б“е—«дн;26;ѕЁ«Џ;81;87.87;0;0;54.98;32.95;8.60;159;37.60;9.43;гжеж»;гжеж»
 —ян «бЏ н»н;22;ж”Ў;58;87.12;3;0;58.06;28.03;5.81;175;24.19;5.16;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;26;ѕЁ«Џ;49;79.84;1;2;79.39;29.72;8.29;123;42.45;7.15;џн— гжеж»;гжеж»
 —ян «б“е—«дн;29;Ќ«—”;63;92.03;7;0;45.27;27.81;7.19;172;31.13;6.57;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;26;ѕЁ«Џ;10;90.88;0;1;71.86;29.40;6.33;136;38.53;7.36;гжеж»;гжеж»
”«бг «бг«бян;21;ећжг;91;80.29;3;3;79.59;33.03;10.21;177;21.38;5.37;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;20;Ќ«—”;47;78.33;8;1;41.25;28.39;7.43;129;9.28;4.79;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;23;ећжг;90;83.33;2;3;63.9;31.75;5.98;135;26.53;8.55;гжеж»;гжеж»
 —ян «бЌ—»н;25;Ќ«—”;53;78.81;3;0;67.72;26.12;11.90;128;31.90;8.07;гжеж»;гжеж»
√Ќгѕ «бЏд“н;15;ж”Ў;41;85.74;6;5;54.73;29.37;8.86;159;33.94;7.99;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;16;Ќ«—”;43;75.39;8;3;64.73;29.65;8.84;119;45.15;6.16;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;25;Ќ«—”;62;94.86;1;0;84.78;32.37;10.69;166;11.41;7.36;гжеж»;гжеж»
д«’— «б‘г—н;21;Ќ«—”;30;91.46;5;0;47.33;33.67;9.68;144;12.06;7.77;гжеж»;гжеж»
”Џжѕ «б‘г—н;24;ѕЁ«Џ;75;88.21;7;4;46.03;26.72;6.30;143;27.74;6.88;гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;21;Ќ«—”;31;62.96;0;2;80.14;33.42;7.83;174;37.00;5.33;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;27;ѕЁ«Џ;93;82.02;0;2;47.85;25.29;6.55;144;46.87;6.66;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;16;ж”Ў;19;88.30;8;5;69.04;31.54;9.34;170;17.58;6.90;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;19;ж”Ў;71;69.85;9;3;86.42;34.61;9.60;131;49.64;7.19;гжеж»;гжеж»
”Џжѕ «бг«бян;25;ѕЁ«Џ;60;63.63;7;5;72.85;31.28;6.35;137;14.67;7.69;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;16;Ќ«—”;24;83.89;2;1;78.82;27.95;11.37;130;33.30;6.25;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;21;Ќ«—”;28;86.30;10;0;68.82;32.82;10.93;156;17.85;8.19;гжеж»;гжеж»
—«я«д «б—жнбн;25;Ќ«—”;33;60.05;0;0;42.87;28.26;9.64;132;45.36;8.37;гжеж»;гжеж»
 —ян «б“е—«дн;20;ж”Ў;73;84.24;5;3;77.81;28.71;8.56;142;26.27;8.05;гжеж»;гжеж»
гЌгѕ «бЏд“н;25;ећжг;25;88.85;2;5;41.82;33.16;8.72;154;35.73;7.56;гжеж»;гжеж»
гЌгѕ «бЌ—»н;21;ж”Ў;28;88.48;0;0;81.39;27.03;11.45;159;32.52;5.68;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;28;ж”Ў;19;67.75;0;1;60.39;27.94;11.24;161;15.16;5.45;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;18;ећжг;74;61.95;2;0;75.04;28.74;7.66;133;39.83;4.95;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;29;ж”Ў;23;89.14;0;2;41.18;29.24;10.44;175;23.25;9.08;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;22;ж”Ў;59;73.69;5;4;41.23;30.52;11.34;170;42.93;6.28;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;23;ећжг;38;90.61;1;0;47.46;29.45;7.33;159;14.55;6.00;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏ н»н;26;Ќ«—”;27;79.36;6;4;53.37;27.51;6.46;172;23.71;6.11;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;25;ећжг;32;64.23;5;1;42.59;24.76;8.83;167;48.72;7.20;гжеж»;гжеж»
—«я«д «б‘г—н;20;ећжг;78;78.72;1;1;59.33;29.02;9.28;125;37.28;7.90;гжеж»;гжеж»
д«’— «б—жнбн;21;ж”Ў;71;74.83;5;3;89.03;28.33;8.87;160;34.48;7.56;гжеж»;гжеж»
 —ян «бЏд“н;18;Ќ«—”;45;92.48;4;4;56.86;27.36;7.21;129;41.54;7.73;гжеж»;гжеж»
√Ќгѕ «б‘г—н;27;Ќ«—”;60;63.99;4;2;42.06;27.66;6.86;149;38.26;6.14;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;27;ећжг;12;73.69;4;0;43.11;31.66;11.40;128;13.09;5.43;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;21;ж”Ў;50;91.48;0;1;41.26;27.47;6.35;132;39.42;4.43;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;18;ећжг;13;68.54;2;1;40.05;23.80;9.91;148;19.41;9.30;гжеж»;гжеж»
Џ»ѕ«ббе «бЏд“н;20;ж”Ў;34;64.41;6;4;63.6;27.45;7.47;162;23.03;5.09;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;19;ећжг;74;78.06;8;4;61.19;31.00;11.22;120;10.49;6.29;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;21;Ќ«—”;66;83.32;0;1;84.8;33.43;6.62;162;10.08;6.55;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;28;ж”Ў;66;61.15;11;5;56.62;26.51;8.03;166;46.39;7.99;гжеж»;гжеж»
—«я«д «бџ«гѕн;26;ећжг;65;79.08;8;1;84.02;30.77;7.24;136;29.76;8.23;гжеж»;гжеж»
 —ян «бЌ—»н;27;ѕЁ«Џ;71;64.94;10;4;61.17;29.45;6.16;149;29.48;7.49;гжеж»;гжеж»
 —ян «бЌ—»н;27;ж”Ў;49;89.89;1;1;42.42;31.63;7.58;172;21.10;5.93;џн— гжеж»;џн— гжеж»
—«я«д «б»бжн;26;ѕЁ«Џ;26;80.77;9;0;86.99;27.29;9.61;169;28.93;7.52;гжеж»;гжеж»
д«’— «бЏд“н;22;ѕЁ«Џ;47;77.92;3;0;81.4;27.17;11.29;120;34.16;8.45;гжеж»;гжеж»
д«’— «б»бжн;18;ѕЁ«Џ;77;79.23;0;0;69.48;26.00;8.72;121;27.29;5.40;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;26;ѕЁ«Џ;81;87.42;9;2;79.25;33.04;9.83;140;30.46;4.65;џн— гжеж»;џн— гжеж»
—«я«д «б“е—«дн;19;ѕЁ«Џ;36;64.21;9;1;81.57;29.19;10.09;176;46.16;8.19;гжеж»;гжеж»
√Ќгѕ «бг«бян;30;ѕЁ«Џ;26;90.56;10;5;67.02;31.54;6.68;153;43.21;9.17;гжеж»;гжеж»
”Џжѕ «бЏд“н;18;Ќ«—”;94;79.67;8;5;66.46;32.51;7.07;129;37.87;7.21;гжеж»;гжеж»
”«бг «бџ«гѕн;23;ѕЁ«Џ;25;90.90;3;0;49.35;29.71;8.18;130;20.06;5.73;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;23;Ќ«—”;83;69.58;6;3;66.91;31.66;10.28;179;23.78;8.31;гжеж»;гжеж»
гЌгѕ «бЏд“н;15;ећжг;33;93.40;4;0;55.3;32.19;7.04;163;18.81;5.34;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;21;Ќ«—”;60;84.76;6;5;43.28;29.74;6.19;142;43.70;7.92;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;25;ећжг;16;86.22;5;1;69.03;30.06;6.67;119;28.66;7.69;гжеж»;гжеж»
Ёеѕ «бџ«гѕн;22;ж”Ў;23;78.54;7;3;53.67;27.80;8.27;158;27.18;7.90;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;21;Ќ«—”;15;79.68;4;5;85.63;25.81;11.20;134;43.96;7.87;гжеж»;гжеж»
√Ќгѕ «бџ«гѕн;17;Ќ«—”;72;82.85;9;0;42.46;31.62;7.58;151;15.90;7.92;гжеж»;гжеж»
”«бг «бЌ—»н;19;ѕЁ«Џ;44;85.60;0;0;71.52;27.30;8.69;164;24.10;5.16;џн— гжеж»;џн— гжеж»
Ёеѕ «б“е—«дн;24;ж”Ў;79;93.63;1;1;71.75;33.27;9.33;162;23.03;6.55;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;26;Ќ«—”;43;71.71;11;5;64.85;25.39;7.59;163;37.87;5.29;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;28;ећжг;68;89.96;2;0;79.37;28.03;6.74;171;29.71;7.28;гжеж»;гжеж»
Ёеѕ «бЌ—»н;24;ѕЁ«Џ;26;61.80;5;4;52.2;32.89;8.53;142;16.61;8.37;гжеж»;гжеж»
”«бг «бёЌЎ«дн;17;ѕЁ«Џ;21;93.80;4;1;46.47;25.89;9.19;150;35.44;8.10;гжеж»;гжеж»
гЌгѕ «б“е—«дн;25;ж”Ў;16;71.32;8;4;58.29;32.49;9.46;170;15.60;7.98;гжеж»;гжеж»
гЌгѕ «б»бжн;16;ѕЁ«Џ;84;67.82;4;1;78.78;31.74;10.05;117;34.54;7.75;гжеж»;гжеж»
 —ян «бг«бян;26;Ќ«—”;43;61.41;10;4;77.27;25.67;7.37;159;49.67;5.63;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;26;ећжг;39;72.56;3;3;44.25;30.78;10.91;132;48.70;4.81;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;29;ећжг;74;90.79;7;3;65.07;33.25;9.40;145;45.43;5.26;џн— гжеж»;џн— гжеж»
—«я«д «бЏ н»н;25;Ќ«—”;30;81.63;7;3;67.93;31.78;9.25;156;30.83;4.59;џн— гжеж»;џн— гжеж»
”Џжѕ «б»бжн;20;ж”Ў;16;77.78;6;3;57.05;24.92;8.99;157;45.96;8.54;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;16;Ќ«—”;20;75.27;2;0;46.78;25.58;10.67;127;36.00;7.89;гжеж»;гжеж»
ќ«бѕ «бг«бян;23;ећжг;73;82.06;0;0;65.37;26.66;9.76;138;49.38;8.62;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;30;ж”Ў;18;65.17;5;2;63.66;27.37;6.38;175;18.92;5.42;џн— гжеж»;џн— гжеж»
”«бг «б»бжн;24;ж”Ў;39;62.35;4;2;63.78;32.89;10.65;167;35.70;6.83;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;25;ећжг;52;78.12;6;1;67.85;27.19;6.48;157;10.32;7.74;гжеж»;гжеж»
ќ«бѕ «бг«бян;18;Ќ«—”;38;79.88;8;3;57.72;32.89;8.15;156;17.90;6.47;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;17;ѕЁ«Џ;14;79.16;2;2;48.34;29.26;7.47;162;37.26;4.52;џн— гжеж»;џн— гжеж»
 —ян «б»бжн;25;ж”Ў;46;76.50;3;1;56.65;33.96;10.95;156;11.64;9.53;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;21;ж”Ў;91;80.81;2;0;80.55;31.95;8.46;177;14.71;6.92;гжеж»;џн— гжеж»
гЌгѕ «б“е—«дн;26;ећжг;34;67.34;3;1;85.99;30.74;7.98;154;46.71;6.60;џн— гжеж»;џн— гжеж»
ќ«бѕ «б—жнбн;27;ж”Ў;83;74.33;1;3;73.22;26.58;10.77;179;27.66;7.20;гжеж»;гжеж»
”«бг «бёЌЎ«дн;24;ећжг;50;87.44;8;0;57.51;33.96;7.18;154;43.21;7.36;гжеж»;гжеж»
гЌгѕ «бЏ н»н;21;ж”Ў;55;93.10;5;4;44.03;32.62;6.95;132;36.32;4.62;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;20;ѕЁ«Џ;26;79.70;7;1;71.7;29.39;9.32;158;20.08;9.04;гжеж»;гжеж»
”«бг «бЏ н»н;20;Ќ«—”;17;94.29;6;0;89.67;25.82;8.39;127;13.90;7.08;џн— гжеж»;гжеж»
Џ»ѕ«ббе «б“е—«дн;20;ећжг;78;74.47;10;6;77.86;30.18;8.59;150;14.60;6.62;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;20;ѕЁ«Џ;77;84.69;5;1;59.44;30.15;8.29;182;18.62;9.00;гжеж»;гжеж»
”«бг «бёЌЎ«дн;24;ећжг;64;88.01;10;1;70.87;32.60;8.58;167;44.83;4.80;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;22;ећжг;39;84.36;5;3;50.2;26.25;7.75;153;34.59;5.70;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;25;ж”Ў;17;73.18;0;0;78.28;27.53;6.72;142;31.12;5.62;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;22;ѕЁ«Џ;57;71.89;8;3;83.8;28.46;6.10;164;36.60;8.28;гжеж»;гжеж»
д«’— «б“е—«дн;17;ж”Ў;24;92.38;2;0;76.05;30.44;8.27;131;44.14;9.43;гжеж»;гжеж»
—«я«д «б»бжн;22;Ќ«—”;65;83.65;7;2;76.02;29.86;10.34;182;27.74;4.97;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б»бжн;23;Ќ«—”;50;72.20;5;0;40.72;25.11;9.17;153;29.06;7.89;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;26;ѕЁ«Џ;47;94.75;4;2;85.72;26.50;9.07;131;44.61;6.30;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;30;ж”Ў;69;76.88;10;0;66.56;25.28;6.33;160;34.97;7.55;гжеж»;гжеж»
”Џжѕ «бЏд“н;30;ѕЁ«Џ;84;74.52;7;4;43.66;24.44;11.07;164;48.17;5.30;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;22;ж”Ў;62;72.89;6;6;67.08;32.28;6.32;135;34.90;9.21;гжеж»;гжеж»
гЌгѕ «бЏд“н;22;Ќ«—”;84;85.69;7;2;73.57;32.80;8.69;126;8.91;7.07;гжеж»;гжеж»
 —ян «бг«бян;19;Ќ«—”;81;69.38;0;2;67.44;26.89;6.28;127;25.73;8.23;гжеж»;гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;22;ећжг;80;68.17;6;5;68.29;30.16;10.50;118;37.29;9.39;гжеж»;гжеж»
√Ќгѕ «б‘г—н;26;ж”Ў;19;70.39;6;1;55.34;31.03;7.72;148;38.60;8.70;гжеж»;гжеж»
”«бг «бЏд“н;24;ж”Ў;55;85.04;10;4;51.9;24.86;8.60;158;18.54;6.20;џн— гжеж»;џн— гжеж»
Ёеѕ «бџ«гѕн;20;ж”Ў;85;65.88;1;0;70.97;31.41;10.20;175;43.53;8.03;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;23;ѕЁ«Џ;51;60.64;2;0;69.8;31.16;6.37;167;18.19;7.68;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;20;Ќ«—”;76;76.11;7;3;57.25;25.11;8.43;139;37.73;5.20;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;19;ж”Ў;75;81.59;3;3;87.66;30.56;9.36;124;42.09;7.19;гжеж»;гжеж»
гЌгѕ «бЏд“н;15;Ќ«—”;44;80.97;1;1;78.66;27.15;6.97;156;39.06;8.26;гжеж»;гжеж»
”Џжѕ «б»бжн;29;Ќ«—”;42;81.12;1;0;72.46;28.44;6.57;143;35.70;8.56;гжеж»;гжеж»
гЌгѕ «бг«бян;25;ећжг;24;76.43;4;6;52.25;30.00;8.08;164;29.21;7.20;гжеж»;гжеж»
”Џжѕ «бг«бян;27;Ќ«—”;71;89.43;0;0;68.02;25.75;6.72;147;15.63;8.75;гжеж»;гжеж»
Ёеѕ «бЏ н»н;29;ѕЁ«Џ;47;63.77;1;1;44.61;31.16;10.57;161;17.16;9.73;гжеж»;гжеж»
—«я«д «бг«бян;19;ѕЁ«Џ;17;68.02;5;4;70.88;23.40;10.82;173;12.93;7.24;џн— гжеж»;гжеж»
д«’— «бЏ н»н;29;ж”Ў;79;84.93;4;2;42.57;32.90;8.43;130;39.48;5.93;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;17;Ќ«—”;38;89.23;1;1;74.14;31.23;11.15;175;43.65;9.29;гжеж»;гжеж»
”«бг «б»бжн;18;ећжг;57;74.64;7;0;74.1;28.32;11.58;130;31.82;7.93;гжеж»;гжеж»
”Џжѕ «бёЌЎ«дн;18;ж”Ў;29;64.26;3;0;66.85;29.74;8.34;125;9.88;7.84;гжеж»;гжеж»
гЌгѕ «бЌ—»н;17;Ќ«—”;14;63.97;3;0;47.15;29.65;7.24;126;23.47;4.71;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;20;ѕЁ«Џ;13;89.59;7;1;54.07;32.25;6.79;133;38.00;4.71;џн— гжеж»;џн— гжеж»
 —ян «б—жнбн;23;ѕЁ«Џ;60;80.32;10;1;88.93;32.37;7.07;160;14.28;6.62;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;22;Ќ«—”;66;63.59;2;3;44.31;31.50;7.57;163;22.74;5.24;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;19;ећжг;67;70.96;8;0;61.68;33.49;7.85;122;44.21;8.35;гжеж»;гжеж»
 —ян «б—жнбн;26;ѕЁ«Џ;83;78.66;9;2;85.48;29.44;7.82;122;22.59;9.83;гжеж»;гжеж»
Ёеѕ «бџ«гѕн;25;ећжг;77;65.63;6;3;89.12;23.90;10.52;131;23.40;9.29;гжеж»;гжеж»
Ёеѕ «б»бжн;27;ѕЁ«Џ;83;81.96;7;2;75.67;31.03;5.68;174;11.88;5.44;џн— гжеж»;џн— гжеж»
”Џжѕ «б‘г—н;25;ѕЁ«Џ;9;75.44;4;3;44.57;26.68;10.90;132;39.18;8.22;гжеж»;гжеж»
ќ«бѕ «б»бжн;24;ећжг;35;82.36;6;4;56.94;27.80;10.97;164;31.53;7.19;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;22;ећжг;21;79.38;8;2;57.77;25.57;10.90;138;44.15;5.31;џн— гжеж»;џн— гжеж»
Ёеѕ «б‘г—н;15;Ќ«—”;78;91.02;1;0;69.71;32.22;7.42;139;24.01;9.04;гжеж»;гжеж»
 —ян «бџ«гѕн;21;ећжг;31;71.24;8;0;42.75;24.92;6.52;185;10.87;8.76;гжеж»;гжеж»
√Ќгѕ «бЏ н»н;24;Ќ«—”;30;77.55;5;6;70.48;29.72;6.38;129;27.78;4.09;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;26;ж”Ў;92;88.75;2;0;41.36;25.12;8.41;159;46.27;7.59;гжеж»;гжеж»
√Ќгѕ «бЏд“н;23;ећжг;40;81.84;8;2;84.95;30.90;8.12;181;14.91;6.35;џн— гжеж»;џн— гжеж»
ќ«бѕ «б‘г—н;21;Ќ«—”;83;66.14;9;4;87.31;31.68;6.24;171;15.53;8.83;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;23;ѕЁ«Џ;66;77.29;6;1;83.76;24.22;6.94;136;10.55;5.50;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;19;ж”Ў;35;89.28;8;5;79.31;32.11;9.02;140;19.33;5.51;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;27;Ќ«—”;16;82.45;9;1;49.3;28.44;8.86;140;49.45;8.47;гжеж»;гжеж»
”«бг «б—жнбн;25;ѕЁ«Џ;34;78.01;3;2;79.08;25.13;9.74;126;34.72;5.50;џн— гжеж»;џн— гжеж»
”Џжѕ «бг«бян;25;ж”Ў;59;67.88;1;1;49.8;31.47;7.60;123;44.92;5.51;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;16;Ќ«—”;54;80.09;7;0;76.87;30.61;9.64;168;11.85;5.26;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;23;Ќ«—”;22;64.03;9;1;40.58;31.90;9.98;131;23.33;7.01;џн— гжеж»;гжеж»
ќ«бѕ «бЏд“н;24;Ќ«—”;70;61.65;2;1;87.19;32.71;8.85;161;11.52;8.88;гжеж»;гжеж»
Џ»ѕ«ббе «бџ«гѕн;18;ѕЁ«Џ;58;60.73;7;0;63.69;27.31;11.20;127;40.23;4.43;џн— гжеж»;џн— гжеж»
ќ«бѕ «бг«бян;19;ѕЁ«Џ;85;66.43;6;1;50.58;27.40;8.54;140;31.66;6.66;гжеж»;џн— гжеж»
—«я«д «бЏ н»н;25;ѕЁ«Џ;78;94.06;5;2;54.04;33.18;10.28;171;24.39;8.60;гжеж»;гжеж»
д«’— «бг«бян;21;ж”Ў;12;64.94;6;2;82.86;32.16;9.96;121;42.65;7.78;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;24;ећжг;79;80.61;2;0;57.19;26.13;10.04;131;32.54;9.22;гжеж»;гжеж»
ќ«бѕ «б»бжн;16;Ќ«—”;85;93.33;1;1;56.71;31.28;8.86;149;46.61;4.81;џн— гжеж»;џн— гжеж»
√Ќгѕ «бџ«гѕн;28;ећжг;91;67.37;7;0;52.82;25.57;7.53;128;33.99;6.13;џн— гжеж»;џн— гжеж»
”«бг «бЏд“н;25;ѕЁ«Џ;10;83.72;8;0;78.22;31.23;8.60;181;47.90;4.92;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;24;Ќ«—”;24;88.88;9;2;62.37;32.24;10.32;157;30.29;4.89;џн— гжеж»;џн— гжеж»
гЌгѕ «б“е—«дн;25;ж”Ў;35;89.40;1;0;72.35;24.00;9.03;156;17.55;7.31;гжеж»;гжеж»
—«я«д «бЏ н»н;29;ећжг;27;81.00;8;5;65.33;31.37;7.85;178;28.75;6.63;гжеж»;џн— гжеж»
”«бг «бЏд“н;21;ећжг;78;86.28;8;0;65.89;27.16;6.45;180;49.61;7.02;џн— гжеж»;гжеж»
